Students	50
1	12 6 10 7
2	9 12 5 6
3	11 2 5 8
4	14 6 13 11
5	10 3 11 9
6	14 3 10 4
7	11 9 7 4
8	5 11 2 4
9	11 9 5 12
10	6 4 7 12
11	4 9 12 6
12	1 14 2 12
13	8 12 9 5
14	9 8 11 13
15	1 4 5 2
16	12 13 9 8
17	9 11 3 1
18	10 7 12 3
19	7 3 10 9
20	2 1 10 12
21	8 10 2 4
22	6 1 4 3
23	9 11 7 10
24	7 3 11 14
25	3 10 2 7
26	8 6 10 5
27	7 10 4 6
28	1 13 11 6
29	9 11 14 6
30	13 11 4 7
31	13 12 5 14
32	3 2 13 9
33	14 4 3 10
34	12 11 1 2
35	5 14 7 13
36	6 14 2 12
37	7 14 6 13
38	8 7 12 9
39	4 13 12 14
40	11 4 5 3
41	13 7 11 8
42	12 2 11 4
43	12 8 2 4
44	3 5 6 14
45	6 5 4 10
46	6 5 4 9
47	13 1 10 2
48	2 11 8 13
49	8 6 4 13
50	3 10 1 8
