Course	Room	Teacher	Time	Students
9	4	4	1	1 4 5 6 8 9 11 13 15 21 24 29 31 34 38 
11	1	5	3	1 4 29 30 35 36 41 48 
10	1	3	4	1 7 9 25 27 40 
13	4	1	4	2 5 8 11 14 16 26 30 39 41 46 49 
1	1	5	2	2 15 16 20 25 26 30 37 45 
5	3	3	1	2 3 10 18 19 22 28 37 41 44 46 
4	3	6	2	3 4 17 29 31 35 36 38 39 46 49 50 
3	3	6	4	4 6 10 12 17 18 22 33 34 42 45 
7	2	7	2	5 7 27 28 40 44 
8	4	4	3	6 7 12 17 21 22 23 26 34 40 43 
2	4	2	2	6 9 10 11 13 18 21 43 47 
12	3	1	3	8 14 16 19 24 25 27 31 32 33 37 42 50 
14	2	7	1	12 14 20 27 33 35 36 42 45 
6	1	2	1	16 17 23 32 39 43 47 48 49 
