Students	500
1	91 25 46 80
2	12 103 1 38
3	18 87 138 24
4	121 46 102 122
5	138 113 87 140
6	46 20 18 73
7	127 83 120 51
8	52 6 100 132
9	47 99 46 38
10	131 76 127 125
11	90 67 129 120
12	134 86 94 137
13	95 42 104 52
14	13 11 35 88
15	129 42 88 103
16	34 63 75 9
17	122 90 102 92
18	9 16 64 22
19	67 95 112 16
20	131 84 28 87
21	20 12 93 131
22	70 7 113 114
23	72 37 77 108
24	131 28 20 89
25	126 94 69 24
26	112 33 128 14
27	6 131 75 103
28	126 51 70 86
29	33 52 4 133
30	60 27 140 132
31	10 50 17 111
32	39 9 129 29
33	67 65 122 82
34	57 28 41 105
35	69 67 55 110
36	69 75 81 48
37	72 112 4 64
38	67 110 120 114
39	15 30 13 126
40	72 12 91 35
41	100 119 111 69
42	137 102 139 93
43	101 127 85 77
44	102 23 40 29
45	117 87 7 125
46	30 113 101 125
47	14 120 56 38
48	127 116 92 117
49	97 66 70 45
50	38 65 76 69
51	38 113 131 71
52	84 41 35 91
53	127 57 63 102
54	23 19 107 50
55	58 12 66 100
56	78 41 51 86
57	75 112 120 135
58	62 24 4 88
59	94 50 131 135
60	117 45 22 96
61	70 80 110 114
62	73 65 127 33
63	83 49 101 110
64	73 7 83 26
65	42 64 29 49
66	51 101 107 2
67	139 32 38 42
68	84 23 33 104
69	110 86 37 60
70	119 46 88 99
71	52 49 48 46
72	33 71 100 13
73	110 132 9 7
74	34 50 74 125
75	69 129 25 43
76	56 69 23 11
77	102 67 97 16
78	127 34 65 118
79	41 43 77 108
80	29 36 74 109
81	18 85 10 16
82	86 51 91 82
83	108 2 64 12
84	9 96 97 59
85	40 58 126 65
86	138 133 37 65
87	48 135 109 17
88	42 16 1 111
89	73 55 84 126
90	114 105 12 47
91	71 83 36 136
92	83 106 59 16
93	41 118 85 21
94	38 65 123 108
95	110 66 117 70
96	43 9 120 131
97	62 98 95 60
98	37 59 52 101
99	122 53 52 17
100	56 79 52 66
101	4 123 38 27
102	5 13 46 17
103	133 62 102 138
104	126 136 62 81
105	52 49 113 112
106	121 50 139 118
107	53 99 115 98
108	134 131 60 117
109	88 11 77 137
110	62 10 128 7
111	102 133 18 57
112	62 13 24 35
113	17 74 35 77
114	24 39 79 83
115	122 133 39 135
116	39 56 64 115
117	131 77 51 74
118	120 79 125 24
119	84 57 9 73
120	111 57 3 115
121	12 40 47 119
122	103 41 84 37
123	11 94 51 125
124	12 49 132 27
125	94 35 130 101
126	52 69 4 99
127	125 10 52 8
128	60 98 124 125
129	84 91 133 136
130	31 137 7 46
131	22 8 125 12
132	89 44 138 88
133	90 35 26 37
134	69 87 125 61
135	61 119 134 132
136	48 55 93 84
137	32 41 140 16
138	78 79 2 47
139	130 64 71 125
140	118 132 133 83
141	81 104 95 5
142	77 84 132 118
143	128 96 43 4
144	2 25 140 73
145	45 8 83 88
146	129 77 122 78
147	100 118 120 64
148	98 79 45 50
149	50 21 114 4
150	135 55 28 34
151	79 104 32 118
152	73 39 75 106
153	27 79 77 103
154	109 22 76 86
155	18 45 20 32
156	131 48 103 129
157	129 1 56 116
158	45 115 105 31
159	97 131 95 67
160	128 96 64 79
161	94 78 128 48
162	100 133 40 8
163	20 68 92 108
164	118 74 43 69
165	7 26 59 73
166	32 113 112 111
167	76 50 30 122
168	15 86 5 19
169	26 108 18 2
170	104 39 13 63
171	139 64 116 32
172	51 101 126 27
173	82 21 132 23
174	18 110 98 94
175	40 101 36 46
176	120 112 97 133
177	22 56 50 42
178	38 65 49 66
179	7 15 73 82
180	88 119 29 91
181	127 138 14 87
182	47 125 33 18
183	72 104 37 51
184	63 109 93 112
185	54 98 133 104
186	126 75 6 49
187	50 20 31 56
188	52 28 101 134
189	137 43 86 56
190	6 103 44 101
191	120 9 137 4
192	42 75 99 56
193	79 138 41 44
194	7 14 16 85
195	133 92 79 99
196	30 135 33 87
197	24 138 30 35
198	53 61 17 3
199	139 134 81 71
200	128 2 55 98
201	85 3 39 113
202	134 103 83 8
203	43 132 103 110
204	56 111 19 123
205	39 46 100 63
206	138 113 119 139
207	119 87 35 14
208	43 41 81 125
209	80 68 20 103
210	124 77 22 17
211	73 127 41 7
212	132 24 38 137
213	75 48 99 127
214	137 139 25 122
215	133 41 61 95
216	131 126 102 77
217	116 103 5 25
218	8 77 71 126
219	117 73 132 80
220	70 41 107 125
221	3 105 28 59
222	135 23 103 12
223	26 103 31 121
224	105 107 55 71
225	118 98 136 18
226	114 39 26 88
227	128 127 108 94
228	99 106 49 127
229	131 33 136 106
230	68 105 44 110
231	104 69 71 99
232	119 44 70 124
233	16 11 85 124
234	69 32 34 119
235	55 69 50 25
236	46 94 100 99
237	48 51 120 124
238	61 86 20 53
239	60 77 42 15
240	35 126 104 111
241	85 36 118 74
242	70 35 129 97
243	61 105 96 94
244	50 45 110 101
245	97 6 139 119
246	115 84 23 108
247	101 98 27 57
248	87 1 63 98
249	114 46 40 36
250	39 49 63 109
251	53 123 8 46
252	58 74 47 105
253	38 133 63 74
254	52 98 128 94
255	28 75 87 41
256	60 139 68 17
257	131 127 11 61
258	21 52 47 31
259	27 126 43 60
260	3 28 72 116
261	129 112 85 134
262	128 14 101 11
263	51 19 30 112
264	14 19 107 9
265	8 97 140 32
266	91 55 53 25
267	67 102 63 93
268	95 3 139 9
269	75 8 6 67
270	26 28 5 21
271	65 73 67 139
272	55 116 26 99
273	19 117 114 14
274	92 88 80 101
275	90 70 34 13
276	27 39 131 64
277	106 137 7 62
278	78 23 87 73
279	26 100 8 45
280	115 42 20 97
281	107 119 130 108
282	114 74 26 93
283	98 31 117 9
284	74 73 91 52
285	135 129 70 14
286	59 97 6 65
287	115 55 75 102
288	115 140 4 76
289	69 96 84 99
290	96 63 57 3
291	34 26 65 116
292	67 137 47 62
293	69 5 68 123
294	64 39 85 91
295	41 9 60 82
296	81 18 44 109
297	119 3 105 64
298	125 80 7 25
299	9 94 109 64
300	81 82 138 76
301	100 36 14 88
302	113 76 136 37
303	42 87 97 75
304	25 101 73 100
305	67 1 15 110
306	66 96 41 91
307	138 29 98 117
308	73 21 30 129
309	4 43 84 75
310	127 39 74 5
311	72 108 120 137
312	76 128 9 31
313	42 38 19 14
314	20 58 8 73
315	71 125 78 80
316	66 23 73 129
317	123 75 29 120
318	83 66 119 135
319	38 136 59 135
320	116 22 106 105
321	57 23 60 79
322	134 119 35 46
323	3 43 54 55
324	129 110 116 48
325	139 33 23 45
326	25 106 112 114
327	19 44 111 61
328	111 75 38 8
329	50 67 70 22
330	106 4 87 92
331	101 108 72 36
332	91 117 120 140
333	114 6 9 16
334	55 31 68 54
335	5 128 22 8
336	130 96 74 56
337	81 11 91 139
338	45 36 29 106
339	50 137 44 36
340	37 32 54 135
341	7 44 82 2
342	2 97 75 15
343	54 88 97 117
344	62 73 78 105
345	140 130 91 138
346	35 51 13 89
347	57 131 105 61
348	86 69 112 40
349	69 9 111 105
350	24 81 50 87
351	51 91 106 33
352	38 108 60 43
353	61 60 72 117
354	98 129 117 78
355	61 12 47 114
356	21 66 58 91
357	121 61 4 133
358	71 4 124 98
359	3 67 60 61
360	70 88 61 100
361	121 98 140 1
362	28 42 120 73
363	58 83 32 16
364	67 50 56 18
365	71 27 66 122
366	101 22 44 90
367	98 47 33 2
368	111 92 88 43
369	32 135 82 67
370	63 18 2 122
371	10 77 37 133
372	30 139 3 70
373	41 23 16 49
374	132 44 81 30
375	1 17 35 61
376	20 24 91 71
377	92 104 75 81
378	43 54 32 74
379	19 126 122 51
380	11 48 43 59
381	83 64 41 50
382	106 61 37 5
383	55 77 109 76
384	46 95 89 118
385	42 127 72 47
386	31 56 40 59
387	123 31 33 116
388	133 45 137 12
389	64 82 122 91
390	127 39 79 110
391	33 118 47 129
392	130 2 103 140
393	61 39 6 50
394	51 134 26 64
395	116 17 46 73
396	118 21 6 120
397	95 115 110 98
398	114 86 52 121
399	105 106 58 104
400	51 32 54 12
401	124 39 140 22
402	99 31 79 80
403	41 96 132 46
404	113 118 15 58
405	12 133 26 119
406	66 67 89 75
407	30 116 88 63
408	20 70 51 105
409	133 100 53 86
410	108 43 54 10
411	29 30 96 66
412	38 18 26 76
413	122 27 119 124
414	41 66 130 30
415	113 109 123 10
416	33 14 42 5
417	1 130 95 91
418	109 94 126 19
419	66 14 47 2
420	131 28 78 73
421	46 75 113 23
422	123 137 92 119
423	73 57 137 77
424	59 45 90 133
425	19 89 3 6
426	38 139 3 75
427	68 8 45 133
428	6 76 130 136
429	116 90 123 84
430	26 11 127 18
431	97 68 105 65
432	134 52 3 123
433	79 126 81 70
434	121 8 62 57
435	132 111 41 21
436	120 8 96 53
437	87 10 6 92
438	10 137 59 119
439	24 49 53 25
440	131 44 15 140
441	103 95 104 110
442	89 124 30 135
443	61 30 33 104
444	66 115 101 76
445	86 39 16 19
