Course	Room	Teacher	Time	Students
1	1	5	4	7 13 15 20 25 28 31 37 45 
2	4	2	2	2 9 10 11 13 18 21 43 47 
3	4	6	3	4 6 10 12 17 22 26 34 41 42 45 
4	3	6	2	3 4 15 29 31 35 36 38 39 46 49 50 
5	3	3	1	2 3 10 18 19 28 37 41 44 46 47 
6	1	2	3	3 16 18 23 32 39 43 47 48 49 
7	2	7	2	5 7 27 28 40 44 
8	1	4	2	6 12 17 22 23 25 26 32 34 
9	4	4	1	1 4 5 6 8 9 11 13 15 21 24 29 31 34 38 39 48 
10	2	3	1	7 22 25 40 
11	4	5	4	1 4 14 19 23 29 33 35 36 41 48 50 
12	3	1	3	8 14 19 24 25 27 30 31 33 37 50 
13	3	1	4	2 5 8 10 11 12 16 26 30 39 46 49 
14	1	7	1	12 14 20 23 27 32 33 35 36 42 45 49 
