Course	Room	Teacher	Time	Students
111	GST102	153	7	1 213 335 392 648 687 871 999 1075 
108	HLL107	105	2	1 48 115 176 181 312 333 416 474 510 525 599 659 679 961 975 1022 1128 1185 
359	STOAUD	137	1	1 6 11 17 20 188 199 205 206 212 215 225 229 251 252 280 293 324 336 357 405 441 454 499 502 573 594 613 618 622 625 649 693 700 702 713 731 740 745 766 771 792 801 942 989 1020 1058 1153 1156 1157 1177 
323	GST102	44	4	2 15 85 91 144 414 438 487 602 745 776 823 898 1058 
209	STO10	230	5	2 10 139 165 213 398 438 542 591 594 602 635 792 915 954 1002 1026 1049 1076 1088 1113 1136 
476	ESTW115	254	6	3 116 191 312 387 762 782 801 872 1132 1150 1156 
549	GST101	77	2	3 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1080 1166 
313	SHA410	188	1	3 7 13 16 204 226 233 285 288 296 377 380 398 408 443 451 463 468 481 489 527 531 536 554 583 585 588 591 624 671 689 732 734 753 754 776 813 829 851 926 927 981 1001 1008 1010 1026 1028 1042 1066 1116 1132 1173 
98	HLL6	4	1	4 19 22 49 122 124 133 209 222 403 409 469 485 603 626 817 830 855 935 987 1074 1093 1134 
709	STOAUD	56	4	5 22 38 66 78 106 139 170 180 196 236 250 324 336 364 408 411 441 447 483 495 592 700 728 750 752 759 766 777 895 905 957 960 1017 1060 1069 1079 1103 1104 1120 1125 1162 1170 1175 1183 
590	OBS	39	3	5 22 38 66 414 447 728 766 895 1017 1120 1162 1175 1183 
632	SHAAUD	134	1	5 34 38 39 68 110 116 139 162 165 174 318 342 364 368 386 413 453 461 500 669 678 679 738 750 820 836 939 957 992 1025 1031 1057 1064 1120 1139 
15	STOAUD	22	5	6 11 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 499 538 568 574 584 598 652 653 716 730 750 752 765 766 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1161 1165 1170 
412	ESTW309	27	4	6 24 72 109 152 222 298 347 370 388 431 445 484 496 500 517 537 555 604 608 664 710 746 824 908 929 971 1005 1111 
484	STO301	30	6	6 70 336 416 419 885 920 965 1034 1175 
659	CHS101	180	2	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936 
33	HLL107	212	4	8 34 80 116 224 282 312 449 503 627 737 787 804 989 991 
684	SHA412	261	6	8 10 76 202 357 363 456 549 635 721 722 723 724 775 787 793 1094 
172	HLL7	257	1	9 35 43 44 47 127 170 190 210 255 290 467 495 584 609 614 638 647 656 662 861 891 924 1053 1092 1162 1183 
458	STOAUD	276	9	9 93 114 168 207 223 276 367 406 444 620 771 821 849 1052 1111 1139 1161 1164 
370	HLL106	318	3	10 39 86 174 227 246 401 412 510 717 868 984 1109 1115 
618	HLL6	4	2	10 11 18 36 79 169 199 270 306 337 377 413 527 580 724 750 793 801 992 1024 1031 1064 1129 1136 
563	ESTW309	261	3	12 26 35 154 170 258 318 335 380 385 537 647 656 662 759 767 861 933 981 1010 1037 1060 1079 1103 1125 1127 1128 1177 
124	OBS	297	6	13 433 569 579 737 
282	OBS	122	2	13 92 111 193 301 433 489 490 703 731 737 847 881 928 1131 
22	OBS	122	4	13 193 301 433 489 490 714 731 847 859 881 928 1131 1136 
445	STO10	88	6	14 20 22 48 101 129 203 238 446 502 574 598 602 947 999 1040 1131 1155 
72	STO301	21	2	14 150 396 451 498 675 744 786 898 955 996 
396	TAYD	330	16	15 896 
689	STO207	36	17	15 572 854 
686	GST103	77	9	16 300 659 902 1078 1146 1154 
574	STO207	85	4	16 315 792 860 982 1055 1094 1140 
603	STO207	85	6	16 237 367 438 655 859 860 941 982 
180	LNKL205	48	2	17 592 704 
21	STO10	72	8	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153 
514	STO10	292	4	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 532 749 805 1040 1042 1061 1065 1083 1105 1107 1153 
737	STOAUD	119	3	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 424 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166 
121	ESTW115	41	9	20 47 129 251 252 501 633 647 724 1064 
91	STO16	43	2	20 28 55 119 190 211 260 285 383 432 509 535 570 637 816 825 887 917 921 942 1008 1035 1091 
309	MAGILLMR	300	2	21 139 346 391 443 456 591 677 747 
350	STO301	88	4	21 128 348 451 498 993 996 
4	HLL112	151	5	21 643 658 
687	STO301	43	5	23 69 683 744 985 1011 1084 1145 1174 
651	STOAUD	296	2	23 24 72 80 96 99 110 114 125 137 152 167 177 195 205 222 259 262 263 284 298 339 370 388 392 393 404 424 484 507 530 538 583 597 628 642 651 669 689 710 721 746 804 826 830 871 877 879 884 932 937 974 1011 1027 1111 1123 1134 1152 
374	STO16	168	1	24 393 399 606 608 746 800 877 973 974 1091 
295	HLL107	145	1	25 104 181 197 249 254 363 420 428 455 520 542 629 650 699 741 758 787 806 864 874 960 996 1114 1161 
341	HLL6	257	3	25 34 158 288 466 481 503 588 743 747 775 834 957 1021 1080 1094 1118 1156 1170 
202	HLS109	167	2	26 39 87 174 188 236 252 258 326 335 381 403 421 423 470 523 524 534 543 587 602 609 624 626 631 633 662 678 779 867 885 901 973 1061 1076 1092 1121 1171 
129	STO207	118	11	27 375 616 780 1003 1150 
577	STO207	196	9	27 211 283 848 903 925 1135 1169 
675	GST102	76	3	28 202 273 795 827 961 1073 
385	STOAUD	245	11	28 39 56 104 162 385 439 461 601 606 699 708 807 820 839 902 933 938 970 1060 
222	SHA213	195	1	29 
720	SHA412	95	5	29 64 171 202 223 417 549 627 748 775 789 822 940 951 1050 1099 1148 
437	MAGILLHVID	132	4	30 368 437 550 641 791 832 1068 1163 
489	MAGILLHVID	43	1	31 404 437 697 811 838 886 
664	STO207	196	14	32 739 828 1002 
315	MAGILLHVID	232	3	33 105 210 546 574 733 993 1009 
204	SHA412	54	1	33 41 102 126 137 241 303 321 379 383 384 401 565 580 593 701 712 858 909 997 1107 1145 
747	ESTW115	166	5	37 272 330 369 436 501 576 688 771 781 993 
478	ESTW309	33	1	37 90 111 125 141 184 359 423 447 479 507 508 592 631 637 687 752 847 885 895 912 975 1069 1113 1165 1184 
532	MARSHAUD	245	3	37 772 849 1099 1111 
363	GST101	189	6	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151 
321	STOAUD	276	8	39 104 114 189 477 486 528 559 673 703 722 770 798 806 807 1032 1099 1111 1173 1174 
585	CHS101	97	1	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185 
58	STO10	157	7	41 53 88 140 203 287 342 430 595 665 670 680 786 843 886 967 1024 1053 1062 1179 
459	STO10	7	9	41 192 216 272 544 623 920 1049 1051 
213	LNKL309	282	1	42 237 279 341 382 475 480 521 640 809 990 1090 
565	SHA412	273	10	42 91 148 153 169 175 279 464 508 648 660 894 1001 1067 1128 
528	SHA412	282	8	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182 
